valid_time,u100,v100,u10,v10,d2m,t2m,latitude,longitude
2025-01-05 08:00:00,-2.1466675,-0.93382263,-1.7248688,-0.7123718,286.15973,299.2281,13.0,77.5
2025-01-05 09:00:00,-2.0964355,-0.9589691,-1.6865387,-0.7329407,285.52042,300.02423,13.0,77.5
2025-01-05 10:00:00,-1.8567657,-0.82333374,-1.4918823,-0.62783813,286.5257,298.92026,13.0,77.5
2025-01-05 11:00:00,-2.1407013,-1.1313171,-1.6669769,-0.84552,286.18997,299.00708,13.0,77.5
2025-01-05 12:00:00,-2.843521,-1.0767059,-1.3400726,-0.44059753,287.86182,298.1197,13.0,77.5
2025-01-05 13:00:00,-4.0269623,-0.7728729,-2.1240997,-0.4294281,287.32172,296.865,13.0,77.5
2025-01-05 14:00:00,-5.1369934,-0.4375,-2.2280426,-0.39157104,287.27692,295.5804,13.0,77.5
2025-01-05 15:00:00,-5.777649,0.16059875,-2.3083496,-0.1764679,287.6016,293.36566,13.0,77.5
2025-01-05 16:00:00,-6.342804,1.0676422,-2.7174377,0.23094177,288.13525,293.1117,13.0,77.5
2025-01-05 17:00:00,-6.546753,1.8385162,-2.95813,0.6340332,288.6082,291.7771,13.0,77.5
2025-01-05 18:00:00,-6.2447968,2.12883,-2.8397064,0.77160645,288.8684,290.89288,13.0,77.5
2025-01-05 19:00:00,-5.738388,1.9657288,-2.5729065,0.6411133,289.1384,290.74078,13.0,77.5
2025-01-05 20:00:00,-5.27182,1.771164,-2.3104858,0.5148468,288.96368,289.9972,13.0,77.5
2025-01-05 21:00:00,-4.824341,1.6245117,-2.0834503,0.4501648,289.04614,290.1768,13.0,77.5
2025-01-05 22:00:00,-4.227707,1.6903229,-1.7546997,0.47325134,288.6281,289.1754,13.0,77.5
2025-01-05 23:00:00,-3.2951355,0.99746704,-1.6993561,0.3375244,288.7359,289.19696,13.0,77.5
2025-01-06 00:00:00,-2.234665,0.7460327,-1.6749725,0.6226959,289.58356,290.4989,13.0,77.5
